SK_ID_CURR,TARGET
100001,0.04774692
100005,0.1377451
100013,0.03492083
100028,0.03516673
100038,0.13302253
100042,0.058785066
100057,0.01744922
100065,0.04354722
100066,0.016508888
100067,0.064459726
100074,0.03903321
100090,0.040753774
100091,0.106132485
100092,0.04077324
100106,0.027753286
100107,0.08554115
100109,0.06686244
100117,0.033174615
100128,0.13965687
100141,0.061202433
100150,0.025717236
100168,0.026362818
100169,0.049600754
100170,0.13566643
100171,0.04925618
100172,0.09641096
100184,0.1017106
100187,0.049056306
100212,0.04348388
100222,0.028181357
100223,0.039290912
100232,0.035351947
100241,0.095211
100245,0.036238037
100253,0.051157918
100256,0.07688483
100271,0.022376802
100278,0.104360044
100280,0.014837434
100306,0.17491622
100311,0.07753551
100312,0.034023833
100330,0.072729155
100331,0.034179024
100352,0.10286051
100358,0.07250929
100367,0.033526868
100382,0.15226874
100384,0.13072267
100385,0.09262636
100386,0.050920166
100399,0.082855515
100404,0.06476149
100416,0.03165605
100422,0.04189176
100426,0.039606467
100438,0.045630425
100444,0.16832179
100445,0.08933939
100446,0.13920741
100447,0.03192117
100450,0.15009384
100466,0.027613949
100483,0.04170724
100484,0.024497785
100494,0.04630921
100510,0.09019321
100512,0.02743988
100517,0.028674642
100548,0.04252672
100551,0.055331886
100552,0.09350997
100553,0.021321649
100561,0.07376137
100568,0.2922069
100569,0.015622325
100591,0.12334537
100592,0.048015352
100602,0.052397843
100607,0.052916925
100613,0.06574735
100617,0.117720485
100618,0.060394738
100622,0.056645416
100625,0.08306627
100677,0.098575875
100699,0.043924615
100702,0.34812146
100711,0.06874179
100729,0.1293226
100740,0.15957233
100744,0.10851572
100745,0.049017083
100747,0.075311
100751,0.26922625
100752,0.044474877
100753,0.10259945
100754,0.19038276
100760,0.043475106
100762,0.11361222
100763,0.04093548
100765,0.01625776
100770,0.08608483
100772,0.03703647
100777,0.015353212
100791,0.020430347
100792,0.02497723
100797,0.030033492
100823,0.03193462
100826,0.03822978
100830,0.069179036
100836,0.19010592
100872,0.065358534
100910,0.055624336
100913,0.1569152
100918,0.03635668
100931,0.0134570785
100952,0.029355181
100953,0.030386172
100965,0.1607815
100970,0.056043696
100982,0.1479261
100983,0.21788837
100984,0.04973334
100987,0.04533165
100997,0.0846008
100998,0.15183608
101002,0.04933229
101005,0.17679565
101008,0.19836205
101020,0.056247294
101021,0.08744831
101024,0.04818897
101025,0.16479185
101026,0.057212926
101031,0.026625874
101041,0.02626014
101051,0.016877694
101055,0.050174534
101056,0.305871
101057,0.052095354
101064,0.020684488
101079,0.07444876
101087,0.024385737
101090,0.035574798
101092,0.05390183
101097,0.1662834
101099,0.034204826
101107,0.056266405
101118,0.035359565
101125,0.101968266
101126,0.019718345
101128,0.017657278
101136,0.09832657
101140,0.08127597
101149,0.090637304
101160,0.10966126
101169,0.1116887
101181,0.08910636
101186,0.013363696
101190,0.038191915
101193,0.13223824
101194,0.09015296
101198,0.093912795
101200,0.028863234
101204,0.02068714
101211,0.08027766
101213,0.05678684
101223,0.059590317
101225,0.0727989
101237,0.050102048
101243,0.098755375
101244,0.085153855
101258,0.023305694
101259,0.12404504
101268,0.101610206
101269,0.02704779
101271,0.028574739
101279,0.029028788
101281,0.15699668
101287,0.05009851
101292,0.043294434
101294,0.033861496
101296,0.074496545
101297,0.018543249
101299,0.023395408
101301,0.06190533
101305,0.08735016
101308,0.09888148
101318,0.028974041
101327,0.12873362
101329,0.01439231
101332,0.053492263
101337,0.0574869
101343,0.051744893
101345,0.043455806
101346,0.02442872
101353,0.022468088
101354,0.13061354
101355,0.14712685
101356,0.04193816
101362,0.049201876
101363,0.28021568
101365,0.015785472
101366,0.05734888
101367,0.16233703
101368,0.020252014
101374,0.17168416
101380,0.018222533
101383,0.05473628
101398,0.019246858
101399,0.17815198
101401,0.18069273
101412,0.07485754
101426,0.057867598
101427,0.2616881
101428,0.07222854
101429,0.105773844
101434,0.02802527
101440,0.15829118
101448,0.048993014
101449,0.042836845
101465,0.062909834
101467,0.020792818
101472,0.07798136
101478,0.16364075
101497,0.065783426
101504,0.052332282
101547,0.018989097
101548,0.07440793
101555,0.077299304
101570,0.031625528
101572,0.06440534
101578,0.042361196
101580,0.096401654
101588,0.15983212
101602,0.027007641
101610,0.070389435
101614,0.07318131
101616,0.035606403
101643,0.09260909
101644,0.037998967
101649,0.05231686
101650,0.059081163
101665,0.04513462
101667,0.11308547
101669,0.103669405
101674,0.08240314
101675,0.027023287
101678,0.096863985
101682,0.033178777
101686,0.052368127
101697,0.16444713
101700,0.24199066
101711,0.034491044
101714,0.022651907
101715,0.20697719
101728,0.025045792
101732,0.06325363
101757,0.06322956
101758,0.052896213
101759,0.05628293
101762,0.01692882
101764,0.14266463
101780,0.1490378
101784,0.017701715
101789,0.029899318
101816,0.055970777
101819,0.027869696
101827,0.020837305
101863,0.09009481
101867,0.026699392
101870,0.014877111
101873,0.20844196
101878,0.11786158
101879,0.11239876
101880,0.04334264
101887,0.06541465
101897,0.028334456
101901,0.07926298
101903,0.1795315
101920,0.048996158
101921,0.026189478
101922,0.07384247
101961,0.07355543
101962,0.032190952
101971,0.078767374
101976,0.33136472
102002,0.07896324
102005,0.021837879
102007,0.22132078
102017,0.023638705
102019,0.14464481
102029,0.020537714
102051,0.16583984
102052,0.016295811
102054,0.029049706
102062,0.050244357
102067,0.18074687
102068,0.13696055
102070,0.05168545
102090,0.11840488
102092,0.06435038
102099,0.06446356
102100,0.037364393
102112,0.12521696
102113,0.0489635
102122,0.09342758
102123,0.028488401
102125,0.022250451
102126,0.14147955
102146,0.027961602
102147,0.04093725
102151,0.043763667
102158,0.16177325
102159,0.044756707
102162,0.06130922
102165,0.036418114
102166,0.019206928
102174,0.034046076
102193,0.21901326
102198,0.04530469
102205,0.08951103
102206,0.016200386
102218,0.038981795
102221,0.055723514
102230,0.08719874
102238,0.02987185
102248,0.056629453
102252,0.16203736
102259,0.0738662
102262,0.14782001
102273,0.08348335
102286,0.18822724
102293,0.018036146
102294,0.043621033
102296,0.07464038
102298,0.058875356
102303,0.022350617
102309,0.048877727
102315,0.034773584
102340,0.114887685
102342,0.061440565
102344,0.023468487
102346,0.0812549
102347,0.020954754
102374,0.046531186
102380,0.033603106
102387,0.040606204
102393,0.044255096
102403,0.030861573
102413,0.022498181
102414,0.010665081
102415,0.02994153
102416,0.06796795
102439,0.06911575
102441,0.03943526
102443,0.025907658
102444,0.10090603
102445,0.120533235
102448,0.059663568
102449,0.13817649
102450,0.14053313
102456,0.022950612
102458,0.10495637
102459,0.048774462
102465,0.10634308
102470,0.18515371
102471,0.03616809
102475,0.022834359
102476,0.14676486
102506,0.052604124
102509,0.07232198
102519,0.022601996
102522,0.047298122
102545,0.05926352
102549,0.06666199
102562,0.014046737
102563,0.018151887
102568,0.12853071
102582,0.06266177
102592,0.019135641
102597,0.06551784
102605,0.061758053
102614,0.045760173
102617,0.09393252
102634,0.046113785
102652,0.028382597
102655,0.013634065
102671,0.06727811
102694,0.19472691
102701,0.056074344
102703,0.018018689
102704,0.031687535
102713,0.018326107
102720,0.10631798
102731,0.017630352
102733,0.046854634
102749,0.029843755
102755,0.1105676
102763,0.011981143
102770,0.06392536
102772,0.063059
102799,0.123096816
102838,0.031348385
102854,0.040202305
102862,0.12325727
102863,0.029637827
102867,0.019402176
102868,0.015052862
102878,0.0779805
102887,0.037044574
102898,0.16385588
102904,0.05332637
102912,0.07206301
102919,0.06804125
102927,0.06918972
102932,0.05637451
102933,0.09018384
102935,0.015152508
102958,0.07746172
102969,0.14908428
102971,0.029948214
102975,0.07589876
102979,0.06353975
102982,0.015987484
102987,0.3168311
102989,0.06267703
102995,0.042064644
102996,0.018065795
103000,0.042942967
103001,0.1542633
103004,0.03788741
103010,0.009409593
103025,0.17076878
103029,0.046661686
103046,0.06457926
103056,0.03976042
103062,0.06015226
103078,0.031676505
103083,0.029553173
103092,0.053627405
103096,0.056589626
103097,0.09031642
103102,0.18363912
103112,0.034947276
103132,0.035825014
103144,0.04293074
103145,0.17905788
103146,0.010715815
103147,0.046977386
103158,0.04980623
103171,0.05966141
103173,0.043632694
103184,0.01407192
103195,0.13676772
103196,0.081541434
103206,0.032071304
103230,0.16900963
